code,frequency
0141,384
0142,229
0143,298
0145,666
0146,307
0147,185
0148,363
0149,676
014a,114
014c,385
014d,403
014e,355
014f,344
0150,283
0152,442
0153,437
0154,563
0155,151
0157,136
0161,1471
0162,981
0163,808
0164,1510
0165,1673
0166,789
0167,851
0168,2415
0169,3407
016a,70
016b,365
016c,2697
016d,1064
016e,3046
016f,812
0170,1138
0171,280
0172,886
0173,1576
0174,1219
0175,1780
0176,517
0177,610
0178,419
0179,529
017a,144
01e9,53
142c,58
1ca5,27
0130,696
0131,2370
0132,1213
0133,538
0134,467
0135,331
0136,251
0137,238
0138,254
0139,260
143a,341
183f,33
1881,162
18a1,13
1980,894
1981,886
1984,329
1985,355
1b81,260
1c2a,482
1c2b,392
1c2d,1788
1c80,26
1c82,113
1d3d,640
1d3e,65
1d90,54
4132,15
4137,6
4143,140
4144,144
4145,92
4148,100
414e,68
4153,144
4154,88
4156,82
4161,597
4162,289
4163,399
4164,379
4165,517
4168,273
4169,1172
416c,428
416d,551
416e,1255
416f,313
4173,708
4174,650
4176,239
4179,185
4261,229
4262,104
4264,103
426b,95
0144,190
014b,166
0151,32
0156,89
0158,18
0159,63
015a,57
0258,27
1821,41
14b7,205
18a2,7
1982,144
1983,142
19a4,26
19a5,29
1c2f,189
1d3c,90
1d86,83
1d92,100
1d97,183
1d98,8
1d99,3
0252,93
0250,17
4131,21
4133,5
4139,6
4141,207
4142,118
4149,75
414c,181
414d,128
414f,18
4150,169
4151,82
4152,161
4159,49
4166,157
4167,182
416a,192
416b,485
4170,399
4171,278
4172,421
4175,365
4177,261
4178,341
417a,228
4265,138
4268,45
426e,16
4270,85
4278,74
0244,72
0255,19
0442,17
0444,1
0445,21
0448,3
1823,8
143b,139
1882,91
1883,9
1891,3
1a82,44
1d87,70
1d9f,16
4134,9
4146,57
414a,48
414b,112
4158,90
415a,58
4263,82
426c,82
4271,101
4273,70
0257,3
0450,5
0453,7
33f0,62
4130,48
4147,135
426d,72
01e8,9
142e,3
18a0,30
1c5c,13
1c88,38
1c8a,34
1d80,219
1d81,1
1d82,45
1d88,40
1d89,34
1d95,13
4157,25
41e9,17
4266,21
4267,18
4272,99
4275,17
4276,29
427e,45
0447,2
1892,27
18a6,6
1b8e,20
1c87,54
1d9b,4
1db3,1
1dba,6
4136,3
4155,30
01c2,2
01e0,7
01e2,1
18b2,1
1a84,14
1c86,51
1d83,8
41c9,2
4269,40
4277,11
41e0,2
41f4,1
01c9,25
0449,1
044f,19
0850,7
1840,5
1c84,36
1c89,1
024b,60
1dc2,7
0248,1
0441,1
044c,1
0458,6
0459,3
045a,1
1887,44
1b83,2
1b87,1
1dc9,2
33f5,3
4135,5
4138,4
188b,7
1d9a,23
1db2,1
0243,37
044b,8
0842,10
0843,31
1824,1
188f,4
0851,1
0852,7
085a,21
188c,8
1c26,2
1b85,2
1dcc,2
0443,1
0446,6
1d9c,1
1dbb,1
188d,1
426a,4
01f4,5
