id,code,sheet,cx,cy,width,height
1,0141,1,200,100,62,60
2,0141,1,400,100,61,59
3,0141,1,600,100,60,58
4,0141,1,800,100,53,50
5,0141,1,1000,100,62,60
6,0141,1,1200,100,61,59
7,0141,1,1400,100,51,51
8,0141,1,1600,100,51,48
9,0141,1,1800,100,61,60
10,0141,1,2000,100,51,50
11,0142,1,2200,100,51,58
12,0142,1,2400,100,42,49
13,0142,1,2600,100,51,59
14,0142,1,2800,100,43,50
15,0142,1,3000,100,50,59
16,0142,1,3200,100,51,59
17,0143,1,3400,100,54,60
18,0143,1,3600,100,45,52
19,0143,1,3800,100,53,60
20,0143,1,4000,100,54,60
21,0143,1,200,300,53,64
22,0145,1,400,300,52,61
23,0145,1,600,300,43,50
24,0145,1,800,300,51,54
25,0145,1,1000,300,42,48
26,0145,1,1200,300,43,48
27,0145,1,1400,300,52,63
28,0145,1,1600,300,51,58
29,0146,1,1800,300,24,49
30,0146,1,2000,300,48,59
31,0146,1,2200,300,48,61
32,0146,1,2400,300,48,60
33,0146,1,2600,300,47,58
34,0146,1,2800,300,47,61
35,0147,1,3000,300,60,60
36,0148,1,3200,300,61,59
37,0148,1,3400,300,60,58
38,0148,1,3600,300,60,60
39,0148,1,3800,300,61,59
40,0149,1,4000,300,23,48
41,0149,1,200,500,24,55
42,0149,1,400,500,26,61
43,0149,1,600,500,26,58
44,0149,1,800,500,22,48
45,0149,1,1000,500,26,58
46,0149,1,1200,500,26,58
47,0149,1,1400,500,26,58
48,0149,1,1600,500,25,58
49,0149,1,1800,500,26,58
50,0149,1,2000,500,26,60
51,014a,1,2200,500,42,74
52,014a,1,2400,500,43,70
53,014a,1,2600,500,26,49
54,014a,1,2800,500,31,64
55,014c,1,3000,500,50,57
56,014c,1,3200,500,52,58
57,014d,1,3400,500,76,60
58,014d,1,3600,500,63,49
59,014d,1,3800,500,81,62
60,014d,1,4000,500,75,59
61,014d,1,200,700,77,58
62,014d,1,400,700,75,60
63,014e,1,600,700,61,60
64,014e,1,800,700,62,60
65,014e,1,1000,700,51,50
66,014e,1,1200,700,52,50
67,014e,1,1400,700,57,55
68,014e,1,1600,700,61,60
69,014f,1,1800,700,59,61
70,014f,1,2000,700,54,57
71,014f,1,2200,700,49,52
72,0150,1,2400,700,40,49
73,0150,1,2600,700,47,59
74,0150,1,2800,700,47,60
75,0150,1,3000,700,47,59
76,0152,1,3200,700,56,59
77,0153,1,3400,700,33,51
78,0153,1,3600,700,39,60
79,0153,1,3800,700,40,60
80,0153,1,4000,700,40,60
81,0154,1,200,900,48,54
82,0154,1,400,900,43,50
83,0154,1,600,900,51,59
84,0154,1,800,900,40,48
85,0154,1,1000,900,52,60
86,0154,1,1200,900,51,61
87,0154,1,1400,900,51,59
88,0154,1,1600,900,51,59
89,0154,1,1800,900,51,60
90,0154,1,2000,900,51,59
91,0155,1,2200,900,58,57
92,0157,1,2400,900,82,60
93,0157,1,2600,900,78,57
94,0161,1,2800,900,36,44
95,0161,1,3000,900,30,34
96,0161,1,3200,900,36,45
97,0161,1,3400,900,37,39
98,0161,1,3600,900,36,40
99,0161,1,3800,900,36,40
100,0161,1,4000,900,37,41
101,0161,1,200,1100,30,35
102,0161,1,400,1100,36,41
103,0161,1,600,1100,31,36
104,0161,1,800,1100,36,41
105,0161,1,1000,1100,30,33
106,0161,1,1200,1100,30,34
107,0161,1,1400,1100,36,43
108,0161,1,1600,1100,36,41
109,0161,1,1800,1100,30,35
110,0161,1,2000,1100,31,36
111,0161,1,2200,1100,30,35
112,0161,1,2400,1100,33,38
113,0161,1,2600,1100,36,45
114,0161,1,2800,1100,35,42
115,0161,1,3000,1100,36,42
116,0161,1,3200,1100,36,42
117,0161,1,3400,1100,36,45
118,0161,1,3600,1100,36,45
119,0161,1,3800,1100,36,42
120,0162,1,4000,1100,35,51
121,0162,1,200,1300,36,51
122,0162,1,400,1300,34,50
123,0162,1,600,1300,41,60
124,0162,1,800,1300,39,57
125,0162,1,1000,1300,41,62
126,0162,1,1200,1300,40,62
127,0162,1,1400,1300,40,62
128,0162,1,1600,1300,41,59
129,0162,1,1800,1300,41,61
130,0162,1,2000,1300,41,62
131,0162,1,2200,1300,41,60
132,0162,1,2400,1300,41,61
133,0162,1,2600,1300,41,62
134,0162,1,2800,1300,35,50
135,0162,1,3000,1300,34,50
136,0162,1,3200,1300,41,63
137,0162,1,3400,1300,41,61
138,0162,1,3600,1300,38,56
139,0162,1,3800,1300,41,63
140,0162,1,4000,1300,41,61
141,0162,1,200,1500,41,61
142,0162,1,400,1500,41,62
143,0162,1,600,1500,40,65
144,0162,1,800,1500,40,65
145,0162,1,1000,1500,41,61
146,0162,1,1200,1500,41,61
147,0162,1,1400,1500,41,61
148,0162,1,1600,1500,42,61
149,0162,1,1800,1500,41,60
150,0162,1,2000,1500,41,61
151,0162,1,2200,1500,38,58
152,0162,1,2400,1500,34,52
153,0162,1,2600,1500,40,62
154,0162,1,2800,1500,35,51
155,0162,1,3000,1500,41,62
156,0162,1,3200,1500,34,51
157,0163,1,3400,1500,28,35
158,0163,1,3600,1500,30,35
159,0163,1,3800,1500,28,34
160,0163,1,4000,1500,34,41
161,0163,1,200,1700,28,35
162,0163,1,400,1700,34,43
163,0163,1,600,1700,34,41
164,0163,1,800,1700,31,38
165,0163,1,1000,1700,34,38
166,0163,1,1200,1700,34,45
167,0163,1,1400,1700,34,42
168,0163,1,1600,1700,34,43
169,0163,1,1800,1700,34,42
170,0163,1,2000,1700,34,41
171,0163,1,2200,1700,28,35
172,0164,1,2400,1700,41,62
173,0164,1,2600,1700,41,62
174,0164,1,2800,1700,41,65
175,0164,1,3000,1700,42,61
176,0164,1,3200,1700,41,62
177,0164,1,3400,1700,42,60
178,0164,1,3600,1700,40,61
179,0164,1,3800,1700,40,60
180,0164,1,4000,1700,34,50
181,0164,1,200,1900,34,51
182,0164,1,400,1900,40,63
183,0164,1,600,1900,42,57
184,0164,1,800,1900,41,61
185,0164,1,1000,1900,40,60
186,0164,1,1200,1900,41,63
187,0164,1,1400,1900,42,62
188,0164,1,1600,1900,34,50
189,0164,1,1800,1900,41,62
190,0164,1,2000,1900,41,62
191,0164,1,2200,1900,41,61
192,0164,1,2400,1900,34,51
193,0164,1,2600,1900,41,62
194,0164,1,2800,1900,41,60
195,0164,1,3000,1900,34,51
196,0164,1,3200,1900,37,56
197,0164,1,3400,1900,41,59
198,0164,1,3600,1900,35,52
199,0164,1,3800,1900,35,51
200,0164,1,4000,1900,41,63
201,0164,1,200,2100,34,50
202,0164,1,400,2100,35,50
203,0164,1,600,2100,41,61
204,0164,1,800,2100,40,62
205,0164,1,1000,2100,39,59
206,0164,1,1200,2100,42,61
207,0164,1,1400,2100,41,65
208,0164,1,1600,2100,41,62
209,0164,1,1800,2100,35,51
210,0164,1,2000,2100,40,60
211,0164,1,2200,2100,34,51
212,0164,1,2400,2100,41,62
213,0164,1,2600,2100,34,51
214,0164,1,2800,2100,41,60
215,0164,1,3000,2100,41,61
216,0164,1,3200,2100,41,63
217,0164,1,3400,2100,38,56
218,0165,1,3600,2100,29,34
219,0165,1,3800,2100,29,37
220,0165,1,4000,2100,35,42
221,0165,1,200,2300,36,41
222,0165,1,400,2300,35,41
223,0165,1,600,2300,35,41
224,0165,1,800,2300,29,34
225,0165,1,1000,2300,30,35
226,0165,1,1200,2300,29,35
227,0165,1,1400,2300,35,42
228,0165,1,1600,2300,35,41
229,0165,1,1800,2300,30,35
230,0165,1,2000,2300,35,42
231,0165,1,2200,2300,30,35
232,0165,1,2400,2300,29,35
233,0165,1,2600,2300,36,41
234,0165,1,2800,2300,35,43
235,0165,1,3000,2300,35,41
236,0165,1,3200,2300,29,35
237,0165,1,3400,2300,35,42
238,0165,1,3600,2300,35,41
239,0165,1,3800,2300,35,44
240,0165,1,4000,2300,36,38
241,0165,1,200,2500,35,41
242,0165,1,400,2500,36,41
243,0165,1,600,2500,34,38
244,0165,1,800,2500,36,42
245,0165,1,1000,2500,36,42
246,0165,1,1200,2500,36,42
247,0165,1,1400,2500,32,38
248,0165,1,1600,2500,33,38
249,0165,1,1800,2500,29,34
250,0165,1,2000,2500,29,35
251,0165,1,2200,2500,35,45
252,0165,1,2400,2500,35,43
253,0165,1,2600,2500,36,42
254,0165,1,2800,2500,35,45
255,0165,1,3000,2500,35,45
256,0165,1,3200,2500,32,38
257,0165,1,3400,2500,36,42
258,0165,1,3600,2500,36,39
259,0166,1,3800,2500,32,62
260,0166,1,4000,2500,32,58
261,0166,1,200,2700,32,61
262,0166,1,400,2700,29,55
263,0166,1,600,2700,32,59
264,0166,1,800,2700,29,58
265,0166,1,1000,2700,32,60
266,0166,1,1200,2700,33,60
267,0166,1,1400,2700,32,63
268,0166,1,1600,2700,30,57
269,0166,1,1800,2700,26,51
270,0166,1,2000,2700,32,56
271,0166,1,2200,2700,33,62
272,0166,1,2400,2700,27,51
273,0166,1,2600,2700,31,60
274,0166,1,2800,2700,32,65
275,0166,1,3000,2700,26,49
276,0166,1,3200,2700,27,51
277,0166,1,3400,2700,31,62
278,0167,1,3600,2700,40,62
279,0167,1,3800,2700,40,63
280,0167,1,4000,2700,33,50
281,0167,1,200,2900,40,59
282,0167,1,400,2900,39,60
283,0167,1,600,2900,40,63
284,0167,1,800,2900,39,63
285,0167,1,1000,2900,36,54
286,0167,1,1200,2900,40,60
287,0167,1,1400,2900,33,49
288,0167,1,1600,2900,40,61
289,0167,1,1800,2900,32,50
290,0167,1,2000,2900,39,60
291,0167,1,2200,2900,32,50
292,0167,1,2400,2900,39,58
293,0167,1,2600,2900,39,60
294,0167,1,2800,2900,39,65
295,0167,1,3000,2900,33,48
296,0167,1,3200,2900,33,51
297,0167,1,3400,2900,32,49
298,0167,1,3600,2900,39,65
299,0168,1,3800,2900,42,61
300,0168,1,4000,2900,41,61
301,0168,1,200,3100,42,61
302,0168,1,400,3100,36,51
303,0168,1,600,3100,42,61
304,0168,1,800,3100,42,60
305,0168,1,1000,3100,39,61
306,0168,1,1200,3100,42,61
307,0168,1,1400,3100,41,62
308,0168,1,1600,3100,35,50
309,0168,1,1800,3100,42,62
310,0168,1,2000,3100,42,60
311,0168,1,2200,3100,41,60
312,0168,1,2400,3100,41,62
313,0168,1,2600,3100,42,60
314,0168,1,2800,3100,42,62
315,0168,1,3000,3100,42,59
316,0168,1,3200,3100,43,60
317,0168,1,3400,3100,42,60
318,0168,1,3600,3100,42,62
319,0168,1,3800,3100,42,59
320,0168,1,4000,3100,42,60
321,0168,1,200,3300,41,59
322,0168,1,400,3300,41,61
323,0168,1,600,3300,39,55
324,0168,1,800,3300,42,60
325,0168,1,1000,3300,42,59
326,0168,1,1200,3300,39,56
327,0168,1,1400,3300,41,60
328,0168,1,1600,3300,42,62
329,0168,1,1800,3300,36,51
330,0168,1,2000,3300,42,65
331,0168,1,2200,3300,42,59
332,0168,1,2400,3300,41,59
333,0168,1,2600,3300,41,59
334,0168,1,2800,3300,41,61
335,0168,1,3000,3300,42,65
336,0168,1,3200,3300,42,60
337,0168,1,3400,3300,42,61
338,0168,1,3600,3300,42,59
339,0168,1,3800,3300,42,60
340,0168,1,4000,3300,42,60
341,0168,1,200,3500,35,49
342,0168,1,400,3500,42,61
343,0168,1,600,3500,38,60
344,0168,1,800,3500,42,63
345,0168,1,1000,3500,43,56
346,0168,1,1200,3500,42,61
347,0168,1,1400,3500,42,61
348,0168,1,1600,3500,41,61
349,0168,1,1800,3500,35,49
350,0168,1,2000,3500,40,57
351,0168,1,2200,3500,35,51
352,0168,1,2400,3500,35,49
353,0168,1,2600,3500,41,62
354,0168,1,2800,3500,42,60
355,0168,1,3000,3500,42,60
356,0169,1,3200,3500,20,60
357,0169,1,3400,3500,20,62
358,0169,1,3600,3500,20,64
359,0169,1,3800,3500,21,60
360,0169,1,4000,3500,21,64
361,0169,1,200,3700,17,50
362,0169,1,400,3700,21,60
363,0169,1,600,3700,16,50
364,0169,1,800,3700,17,50
365,0169,1,1000,3700,20,62
366,0169,1,1200,3700,21,59
367,0169,1,1400,3700,19,57
368,0169,1,1600,3700,20,61
369,0169,1,1800,3700,19,56
370,0169,1,2000,3700,21,60
371,0169,1,2200,3700,16,51
372,0169,1,2400,3700,17,49
373,0169,1,2600,3700,18,55
374,0169,1,2800,3700,20,61
375,0169,1,3000,3700,19,55
376,0169,1,3200,3700,18,55
377,0169,1,3400,3700,20,61
378,0169,1,3600,3700,21,61
379,0169,1,3800,3700,20,63
380,0169,1,4000,3700,20,61
381,0169,1,200,3900,20,62
382,0169,1,400,3900,20,59
383,0169,1,600,3900,20,62
384,0169,1,800,3900,20,60
385,0169,1,1000,3900,20,60
386,0169,1,1200,3900,20,59
387,0169,1,1400,3900,20,63
388,0169,1,1600,3900,17,50
389,0169,1,1800,3900,17,50
390,0169,1,2000,3900,17,50
391,0169,1,2200,3900,20,59
392,0169,1,2400,3900,20,60
393,0169,1,2600,3900,20,63
394,0169,1,2800,3900,17,50
395,0169,1,3000,3900,17,51
396,0169,1,3200,3900,20,61
397,0169,1,3400,3900,20,57
398,0169,1,3600,3900,20,61
399,0169,1,3800,3900,20,62
400,0169,1,4000,3900,20,63
401,0169,1,200,4100,17,49
402,0169,1,400,4100,20,64
403,0169,1,600,4100,21,64
404,0169,1,800,4100,17,50
405,0169,1,1000,4100,21,59
406,0169,1,1200,4100,21,60
407,0169,1,1400,4100,18,51
408,0169,1,1600,4100,17,51
409,0169,1,1800,4100,20,60
410,0169,1,2000,4100,20,64
411,0169,1,2200,4100,17,51
412,0169,1,2400,4100,21,61
413,0169,1,2600,4100,17,51
414,0169,1,2800,4100,20,59
415,0169,1,3000,4100,21,61
416,0169,1,3200,4100,21,61
417,0169,1,3400,4100,20,60
418,0169,1,3600,4100,20,61
419,0169,1,3800,4100,16,50
420,0169,1,4000,4100,21,61
421,0169,1,200,4300,21,62
422,0169,1,400,4300,16,50
423,0169,1,600,4300,20,59
424,0169,1,800,4300,20,64
425,0169,1,1000,4300,20,62
426,016a,1,1200,4300,23,79
427,016a,1,1400,4300,23,80
428,016a,1,1600,4300,24,79
429,016b,1,1800,4300,45,57
430,016b,1,2000,4300,37,49
431,016b,1,2200,4300,37,51
432,016b,1,2400,4300,44,60
433,016b,1,2600,4300,40,55
434,016b,1,2800,4300,43,60
435,016b,1,3000,4300,41,60
436,016b,1,3200,4300,44,60
437,016b,1,3400,4300,40,55
438,016b,1,3600,4300,43,60
439,016b,1,3800,4300,43,60
440,016b,1,4000,4300,44,60
441,016b,1,200,4500,44,60
442,016c,1,400,4500,20,60
443,016c,1,600,4500,21,61
444,016c,1,800,4500,16,50
445,016c,1,1000,4500,17,50
446,016c,1,1200,4500,20,57
447,016c,1,1400,4500,20,61
448,016c,1,1600,4500,21,60
449,016c,1,1800,4500,21,61
450,016c,1,2000,4500,21,64
451,016c,1,2200,4500,21,60
452,016c,1,2400,4500,20,59
453,016c,1,2600,4500,20,58
454,016c,1,2800,4500,20,62
455,016c,1,3000,4500,18,61
456,016c,1,3200,4500,21,60
457,016c,1,3400,4500,21,60
458,016c,1,3600,4500,20,62
459,016c,1,3800,4500,17,49
460,016c,1,4000,4500,20,61
461,016c,1,200,4700,21,62
462,016c,1,400,4700,21,60
463,016c,1,600,4700,20,60
464,016c,1,800,4700,20,62
465,016c,1,1000,4700,21,64
466,016c,1,1200,4700,18,51
467,016c,1,1400,4700,20,60
468,016c,1,1600,4700,20,60
469,016c,1,1800,4700,20,61
470,016c,1,2000,4700,21,61
471,016c,1,2200,4700,21,60
472,016c,1,2400,4700,19,60
473,016c,1,2600,4700,20,60
474,016c,1,2800,4700,18,51
475,016c,1,3000,4700,21,61
476,016c,1,3200,4700,21,60
477,016c,1,3400,4700,18,50
478,016c,1,3600,4700,21,61
479,016c,1,3800,4700,20,60
480,016c,1,4000,4700,22,57
481,016c,1,200,4900,22,60
482,016c,1,400,4900,16,50
483,016c,1,600,4900,20,60
484,016c,1,800,4900,21,61
485,016c,1,1000,4900,21,58
486,016c,1,1200,4900,21,58
487,016c,1,1400,4900,20,59
488,016c,1,1600,4900,21,59
489,016c,1,1800,4900,22,59
490,016c,1,2000,4900,20,61
491,016c,1,2200,4900,21,56
492,016c,1,2400,4900,22,59
493,016c,1,2600,4900,13,77
494,016c,1,2800,4900,20,61
495,016c,1,3000,4900,20,62
496,016c,1,3200,4900,22,60
497,016c,1,3400,4900,19,57
498,016c,1,3600,4900,21,59
499,016c,1,3800,4900,20,60
500,016c,1,4000,4900,18,57
501,016c,1,200,5100,17,50
502,016c,1,400,5100,20,60
503,016c,1,600,5100,17,49
504,016c,1,800,5100,21,59
505,016c,1,1000,5100,22,60
506,016d,1,1200,5100,56,32
507,016d,1,1400,5100,67,41
508,016d,1,1600,5100,66,41
509,016d,1,1800,5100,66,39
510,016d,1,2000,5100,64,46
511,016d,1,2200,5100,67,41
512,016d,1,2400,5100,64,39
513,016d,1,2600,5100,66,42
514,016d,1,2800,5100,55,33
515,016d,1,3000,5100,56,34
516,016d,1,3200,5100,56,34
517,016d,1,3400,5100,66,41
518,016d,1,3600,5100,62,38
519,016d,1,3800,5100,62,37
520,016d,1,4000,5100,55,33
521,016d,1,200,5300,67,41
522,016d,1,400,5300,67,41
523,016d,1,600,5300,67,41
524,016d,1,800,5300,56,35
525,016e,1,1000,5300,36,35
526,016e,1,1200,5300,41,41
527,016e,1,1400,5300,41,44
528,016e,1,1600,5300,35,34
529,016e,1,1800,5300,42,41
530,016e,1,2000,5300,35,34
531,016e,1,2200,5300,34,33
532,016e,1,2400,5300,35,35
533,016e,1,2600,5300,37,38
534,016e,1,2800,5300,42,45
535,016e,1,3000,5300,43,41
536,016e,1,3200,5300,42,39
537,016e,1,3400,5300,35,34
538,016e,1,3600,5300,42,41
539,016e,1,3800,5300,41,40
540,016e,1,4000,5300,34,34
541,016e,1,200,5500,41,40
542,016e,1,400,5500,34,33
543,016e,1,600,5500,35,36
544,016e,1,800,5500,42,42
545,016e,1,1000,5500,42,37
546,016e,1,1200,5500,35,34
547,016e,1,1400,5500,41,40
548,016e,1,1600,5500,34,34
549,016e,1,1800,5500,41,44
550,016e,1,2000,5500,41,42
551,016e,1,2200,5500,34,34
552,016e,1,2400,5500,41,41
553,016e,1,2600,5500,39,38
554,016e,1,2800,5500,38,37
555,016e,1,3000,5500,34,34
556,016e,1,3200,5500,41,44
557,016e,1,3400,5500,42,42
558,016e,1,3600,5500,41,40
559,016e,1,3800,5500,42,41
560,016e,1,4000,5500,42,45
561,016e,1,200,5700,41,40
562,016e,1,400,5700,35,33
563,016e,1,600,5700,39,38
564,016e,1,800,5700,41,40
565,016e,1,1000,5700,38,37
566,016e,1,1200,5700,40,46
567,016e,1,1400,5700,34,34
568,016e,1,1600,5700,34,34
569,016e,1,1800,5700,40,40
570,016e,1,2000,5700,41,41
571,016e,1,2200,5700,41,41
572,016e,1,2400,5700,41,40
573,016e,1,2600,5700,41,41
574,016e,1,2800,5700,41,40
575,016e,1,3000,5700,38,37
576,016e,1,3200,5700,41,41
577,016e,1,3400,5700,34,33
578,016e,1,3600,5700,41,41
579,016e,1,3800,5700,41,41
580,016e,1,4000,5700,41,40
581,016e,2,200,200,41,40
582,016e,2,400,200,42,41
583,016e,2,600,200,42,41
584,016e,2,800,200,41,40
585,016f,2,1000,200,40,45
586,016f,2,1200,200,33,34
587,016f,2,1400,200,34,35
588,016f,2,1600,200,32,34
589,016f,2,1800,200,40,43
590,016f,2,2000,200,39,42
591,016f,2,2200,200,39,45
592,016f,2,2400,200,37,40
593,016f,2,2600,200,33,36
