identifier,codes,group,internalName,externalName
0,0x0141,Roman,A,A
1,0x0142,Roman,B,B
2,0x0143,Roman,C,C
3,0x0144,Roman,D,D
4,0x0145,Roman,E,E
5,0x0146,Roman,F,F
6,0x0147,Roman,G,G
7,0x0148,Roman,H,H
8,0x0149,Roman,I,I
9,0x014a,Roman,J,J
10,0x014b,Roman,K,K
11,0x014c,Roman,L,L
12,0x014d,Roman,M,M
13,0x014e,Roman,N,N
14,0x014f,Roman,O,O
15,0x0150,Roman,P,P
16,0x0151,Roman,Q,Q
17,0x0152,Roman,R,R
18,0x0153,Roman,S,S
19,0x0154,Roman,T,T
20,0x0155,Roman,U,U
21,0x0156,Roman,V,V
22,0x0157,Roman,W,W
23,0x0158,Roman,X,X
24,0x0159,Roman,Y,Y
25,0x015a,Roman,Z,Z
26,0x0161,Roman,a,a
27,0x0162,Roman,b,b
28,0x0163,Roman,c,c
29,0x0164,Roman,d,d
30,0x0165,Roman,e,e
31,0x0166,Roman,f,f
32,0x0167,Roman,g,g
33,0x0168,Roman,h,h
34,0x0169,Roman,i,i
35,0x016a,Roman,j,j
36,0x016b,Roman,k,k
37,0x016c,Roman,l,l
38,0x016d,Roman,m,m
39,0x016e,Roman,n,n
40,0x016f,Roman,o,o
41,0x0170,Roman,p,p
42,0x0171,Roman,q,q
43,0x0172,Roman,r,r
44,0x0173,Roman,s,s
45,0x0174,Roman,t,t
46,0x0175,Roman,u,u
47,0x0176,Roman,v,v
48,0x0177,Roman,w,w
49,0x0178,Roman,x,x
50,0x0179,Roman,y,y
51,0x017a,Roman,z,z
52,0x4141,Roman,A,A
53,0x4142,Roman,B,B
54,0x4143,Roman,C,C
55,0x4144,Roman,D,D
56,0x4145,Roman,E,E
57,0x4146,Roman,F,F
58,0x4147,Roman,G,G
59,0x4148,Roman,H,H
60,0x4149,Roman,I,I
61,0x414a,Roman,J,J
62,0x414b,Roman,K,K
63,0x414c,Roman,L,L
64,0x414d,Roman,M,M
65,0x414e,Roman,N,N
66,0x414f,Roman,O,O
67,0x4150,Roman,P,P
68,0x4151,Roman,Q,Q
69,0x4152,Roman,R,R
70,0x4153,Roman,S,S
71,0x4154,Roman,T,T
72,0x4155,Roman,U,U
73,0x4156,Roman,V,V
74,0x4157,Roman,W,W
75,0x4158,Roman,X,X
76,0x4159,Roman,Y,Y
77,0x415a,Roman,Z,Z
78,0x4161,Roman,a,a
79,0x4162,Roman,b,b
80,0x4163,Roman,c,c
81,0x4164,Roman,d,d
82,0x4165,Roman,e,e
83,0x4166,Roman,f,f
84,0x4167,Roman,g,g
85,0x4168,Roman,h,h
86,0x4169,Roman,i,i
87,0x416a,Roman,j,j
88,0x416b,Roman,k,k
89,0x416c,Roman,l,l
90,0x416d,Roman,m,m
91,0x416e,Roman,n,n
92,0x416f,Roman,o,o
93,0x4170,Roman,p,p
94,0x4171,Roman,q,q
95,0x4172,Roman,r,r
96,0x4173,Roman,s,s
97,0x4174,Roman,t,t
98,0x4175,Roman,u,u
99,0x4176,Roman,v,v
100,0x4177,Roman,w,w
101,0x4178,Roman,x,x
102,0x4179,Roman,y,y
103,0x417a,Roman,z,z
104,0x0130,Numeric,zero,zero
105,0x0131,Numeric,one,one
106,0x0132,Numeric,two,two
107,0x0133,Numeric,three,three
108,0x0134,Numeric,four,four
109,0x0135,Numeric,five,five
110,0x0136,Numeric,six,six
111,0x0137,Numeric,seven,seven
112,0x0138,Numeric,eight,eight
113,0x0139,Numeric,nine,nine
114,0x4130,Numeric,zero,zero
115,0x4131,Numeric,one,one
116,0x4132,Numeric,two,two
117,0x4133,Numeric,three,three
118,0x4134,Numeric,four,four
119,0x4135,Numeric,five,five
120,0x4136,Numeric,six,six
121,0x4137,Numeric,seven,seven
122,0x4138,Numeric,eight,eight
123,0x4139,Numeric,nine,nine
